filename,read_type,strand,lane,read_count
1_L1_SRR18328095.sra_1.fastq.gz,raw,forward,1,15049054
1_L1_SRR18328095.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,13642305
1_L1_SRR18328095.sra_2.fastq.gz,raw,forward,1,15049054
1_L1_SRR18328095.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,13642305
1_L2_SRR18328094.sra_1.fastq.gz,raw,forward,2,15393748
1_L2_SRR18328094.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,14547841
1_L2_SRR18328094.sra_2.fastq.gz,raw,forward,2,15393748
1_L2_SRR18328094.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,14547841
10_L1_SRR8581160.sra_1.fastq.gz,raw,forward,1,27326361
10_L1_SRR8581160.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,21024296
10_L1_SRR8581160.sra_2.fastq.gz,raw,forward,1,27326361
10_L1_SRR8581160.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,21024296
11_L1_SRR8581150.sra_1.fastq.gz,raw,forward,1,30891791
11_L1_SRR8581150.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,24263767
11_L1_SRR8581150.sra_2.fastq.gz,raw,forward,1,30891791
11_L1_SRR8581150.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,24263767
12_L1_SRR8581149.sra_1.fastq.gz,raw,forward,1,48928365
12_L1_SRR8581149.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,38784362
12_L1_SRR8581149.sra_2.fastq.gz,raw,forward,1,48928365
12_L1_SRR8581149.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,38784362
13_L1_SRR18328011.sra_1.fastq.gz,raw,forward,1,16580467
13_L1_SRR18328011.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,15164059
13_L1_SRR18328011.sra_2.fastq.gz,raw,forward,1,16580467
13_L1_SRR18328011.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,15164059
13_L2_SRR18328010.sra_1.fastq.gz,raw,forward,2,16935921
13_L2_SRR18328010.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,16152530
13_L2_SRR18328010.sra_2.fastq.gz,raw,forward,2,16935921
13_L2_SRR18328010.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,16152530
14_L1_SRR18328062.sra_1.fastq.gz,raw,forward,1,16345181
14_L1_SRR18328062.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,14756973
14_L1_SRR18328062.sra_2.fastq.gz,raw,forward,1,16345181
14_L1_SRR18328062.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,14756973
14_L2_SRR18328061.sra_1.fastq.gz,raw,forward,2,16698612
14_L2_SRR18328061.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,15723961
14_L2_SRR18328061.sra_2.fastq.gz,raw,forward,2,16698612
14_L2_SRR18328061.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,15723961
15_L1_SRR18328056.sra_1.fastq.gz,raw,forward,1,10146335
15_L1_SRR18328056.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,9130557
15_L1_SRR18328056.sra_2.fastq.gz,raw,forward,1,10146335
15_L1_SRR18328056.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,9130557
15_L2_SRR18328055.sra_1.fastq.gz,raw,forward,2,10367152
15_L2_SRR18328055.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,9723235
15_L2_SRR18328055.sra_2.fastq.gz,raw,forward,2,10367152
15_L2_SRR18328055.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,9723235
16_L1_SRR18328053.sra_1.fastq.gz,raw,forward,1,9938943
16_L1_SRR18328053.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,8699490
16_L1_SRR18328053.sra_2.fastq.gz,raw,forward,1,9938943
16_L1_SRR18328053.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,8699490
16_L2_SRR18328052.sra_1.fastq.gz,raw,forward,2,10138973
16_L2_SRR18328052.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,9248511
16_L2_SRR18328052.sra_2.fastq.gz,raw,forward,2,10138973
16_L2_SRR18328052.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,9248511
17_L1_SRR18328051.sra_1.fastq.gz,raw,forward,1,16729816
17_L1_SRR18328051.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,15321724
17_L1_SRR18328051.sra_2.fastq.gz,raw,forward,1,16729816
17_L1_SRR18328051.sra_2.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,1,15321724
17_L2_SRR18328050.sra_1.fastq.gz,raw,forward,2,17115102
17_L2_SRR18328050.sra_1.fastq.gz.trimmed.fastp.fq.gz,trimmed,reverse,2,16349587
17_L2_SRR18328050.sra_2.fastq.gz,raw,forward,2,17115102
