NCBI_bioproject,NCBI_biosample,SRA_accession,plant,full_id,new_id_short,id_gl,sra_library_id,biosample_isolate,location,parental_id,lane
PRJNA522653,SAMN10948347,SRR8581147,pdc_52-19,57_pdc_52-19,57,52,KMH1,parental_plant_52_offspring1,Pedra da Cruz,pdc-52,1
PRJNA522653,SAMN10948356,SRR8581142,pdc_4-3,2_pdc_4-3,2,11,KMH10,parental_plant_4_offspring1,Pedra da Cruz,pdc-4,1
PRJNA522653,SAMN10948357,SRR8581155,pdc_12-1,8_pdc_12-1,8,68,KMH11,parental_plant_12_offspring1,Pedra da Cruz,pdc-12,1
PRJNA522653,SAMN10948358,SRR8581154,pdc_33-1,25_pdc_33-1,25,17,KMH12,parental_plant_33_offspring1,Pedra da Cruz,pdc-33,1
PRJNA522653,SAMN10948359,SRR8581157,pdc_28-3,20_pdc_28-3,20,12,KMH13,parental_plant_28_offspring1,Pedra da Cruz,pdc-28,1
PRJNA522653,SAMN10948360,SRR8581156,pdc_28-4,21_pdc_28-4,21,13,KMH14,parental_plant_28_offspring2,Pedra da Cruz,pdc-28,1
PRJNA522653,SAMN10948361,SRR8581159,pdc_41-29,33_pdc_41-29,33,26,KMH15,parental_plant_41_offspring1,Pedra da Cruz,pdc-41,1
PRJNA522653,SAMN10948362,SRR8581158,pdc_41-30,34_pdc_41-30,34,27,KMH16,parental_plant_41_offspring2,Pedra da Cruz,pdc-41,1
PRJNA522653,SAMN10948363,SRR8581161,pdc_7-4,3_pdc_7-4,3,22,KMH17,parental_plant_7_offspring1,Pedra da Cruz,pdc-7,1
PRJNA522653,SAMN10948364,SRR8581160,pdc_18-2,10_pdc_18-2,10,1,KMH18,parental_plant_18_offspring1,Pedra da Cruz,pdc-18,1
PRJNA522653,SAMN10948365,SRR8581153,pdc_14-2,9_pdc_14-2,9,69,KMH19,parental_plant_14_offspring1,Pedra da Cruz,pdc-14,1
PRJNA522653,SAMN10948348,SRR8581146,pdc_52-13,52_pdc_52-13,52,47,KMH2,parental_plant_52_offspring2,Pedra da Cruz,pdc-52,1
PRJNA522653,SAMN10948366,SRR8581152,pdc_48-47,42_pdc_48-47,42,36,KMH20,parental_plant_48_offspring1,Pedra da Cruz,pdc-48,1
PRJNA522653,SAMN10948367,SRR8581140,pdc_29-16,24_pdc_29-16,24,16,KMH21,parental_plant_29_offspring1,Pedra da Cruz,pdc-29,1
PRJNA522653,SAMN10948368,SRR8581141,pdc_49-3,46_pdc_49-3,46,40,KMH22,parental_plant_49_offspring1,Pedra da Cruz,pdc-49,1
PRJNA522653,SAMN10948349,SRR8581145,pdc_52-15,53_pdc_52-15,53,48,KMH3,parental_plant_52_offspring3,Pedra da Cruz,pdc-52,1
PRJNA522653,SAMN10948350,SRR8581144,pdc_52-16,54_pdc_52-16,54,49,KMH4,parental_plant_52_offspring4,Pedra da Cruz,pdc-52,1
PRJNA522653,SAMN10948351,SRR8581151,pdc_51-6,48_pdc_51-6,48,42,KMH5,parental_plant_51_offspring1,Pedra da Cruz,pdc-51,1
PRJNA522653,SAMN10948352,SRR8581150,pdc_21-3,11_pdc_21-3,11,2,KMH6,parental_plant_21_offspring2,Pedra da Cruz,pdc-21,1
PRJNA522653,SAMN10948353,SRR8581149,pdc_21-5,12_pdc_21-5,12,3,KMH7,parental_plant_21_offspring1,Pedra da Cruz,pdc-21,1
PRJNA522653,SAMN10948354,SRR8581148,pdc_8-20,6_pdc_8-20,6,55,KMH8,parental_plant_8_offspring1,Pedra da Cruz,pdc-8,1
PRJNA522653,SAMN10948355,SRR8581143,pdc_8-8,5_pdc_8-8,5,44,KMH9,parental_plant_8_offspring2,Pedra da Cruz,pdc-8,1
